Meeting Week,Section,Reference,MP3 URL
December 1-7,Bible Reading,Isaiah 3,https://cfp2.jw-cdn.org/a/d2d454/1/o/bi12_23_Isa_E_03.mp3
December 1-7,Bible Reading,Isaiah 4,https://cfp2.jw-cdn.org/a/022522/1/o/bi12_23_Isa_E_04.mp3
December 1-7,Congregation Bible Study,Lesson 40,https://cfp2.jw-cdn.org/a/f68f93/1/o/lfb_E_041.mp3
December 1-7,Congregation Bible Study,Lesson 41,https://cfp2.jw-cdn.org/a/4dd7c77/1/o/lfb_E_042.mp3
December 8-14,Bible Reading,Isaiah 5,https://cfp2.jw-cdn.org/a/0727398/1/o/bi12_23_Isa_E_05.mp3
December 8-14,Bible Reading,Isaiah 6,https://cfp2.jw-cdn.org/a/8af58d/1/o/bi12_23_Isa_E_06.mp3
December 8-14,Congregation Bible Study,Lesson 42,https://cfp2.jw-cdn.org/a/3c11f2/1/o/lfb_E_043.mp3
December 8-14,Congregation Bible Study,Lesson 43,https://cfp2.jw-cdn.org/a/08e860/1/o/lfb_E_044.mp3
December 15-21,Bible Reading,Isaiah 7,https://cfp2.jw-cdn.org/a/ea50425/1/o/bi12_23_Isa_E_07.mp3
December 15-21,Bible Reading,Isaiah 8,https://cfp2.jw-cdn.org/a/af69fa/1/o/bi12_23_Isa_E_08.mp3
December 15-21,Congregation Bible Study,Lesson 44,https://cfp2.jw-cdn.org/a/208f71/1/o/lfb_E_045.mp3
December 22-28,Bible Reading,Isaiah 9,https://cfp2.jw-cdn.org/a/571d9f/1/o/bi12_23_Isa_E_09.mp3
December 22-28,Bible Reading,Isaiah 10,https://cfp2.jw-cdn.org/a/5880ca/1/o/bi12_23_Isa_E_10.mp3
December 22-28,Congregation Bible Study,Lesson 45,https://cfp2.jw-cdn.org/a/0c8eeb/1/o/lfb_E_046.mp3
December 22-28,Congregation Bible Study,Lesson 46,https://cfp2.jw-cdn.org/a/87e49a/1/o/lfb_E_047.mp3
December 29–January 4,Bible Reading,Isaiah 11,https://cfp2.jw-cdn.org/a/f94f77/1/o/bi12_23_Isa_E_11.mp3
December 29–January 4,Bible Reading,Isaiah 12,https://cfp2.jw-cdn.org/a/7ac043/1/o/bi12_23_Isa_E_12.mp3
December 29–January 4,Bible Reading,Isaiah 13,https://cfp2.jw-cdn.org/a/d132f1/1/o/bi12_23_Isa_E_13.mp3
December 29–January 4,Congregation Bible Study,Lesson 47,https://cfp2.jw-cdn.org/a/0073379/1/o/lfb_E_048.mp3
December 29–January 4,Congregation Bible Study,Lesson 48,https://cfp2.jw-cdn.org/a/5c22bf/1/o/lfb_E_049.mp3
January 5-11,Bible Reading,Isaiah 14,https://cfp2.jw-cdn.org/a/2adc6f0/1/o/bi12_23_Isa_E_14.mp3
January 5-11,Bible Reading,Isaiah 15,https://cfp2.jw-cdn.org/a/146977/1/o/bi12_23_Isa_E_15.mp3
January 5-11,Bible Reading,Isaiah 16,https://cfp2.jw-cdn.org/a/e71f21/1/o/bi12_23_Isa_E_16.mp3
January 5-11,Congregation Bible Study,Lesson 49,https://cfp2.jw-cdn.org/a/3cdb4b1/1/o/lfb_E_050.mp3
January 5-11,Congregation Bible Study,Lesson 50,https://cfp2.jw-cdn.org/a/48d261a/1/o/lfb_E_051.mp3
January 12-18,Bible Reading,Isaiah 17,https://cfp2.jw-cdn.org/a/08e9fb/1/o/bi12_23_Isa_E_17.mp3
January 12-18,Bible Reading,Isaiah 18,https://cfp2.jw-cdn.org/a/dfd597/1/o/bi12_23_Isa_E_18.mp3
January 12-18,Bible Reading,Isaiah 19,https://cfp2.jw-cdn.org/a/4f20ec3/1/o/bi12_23_Isa_E_19.mp3
January 12-18,Bible Reading,Isaiah 20,https://cfp2.jw-cdn.org/a/c871a1/1/o/bi12_23_Isa_E_20.mp3
January 12-18,Bible Reading,Isaiah 21,https://cfp2.jw-cdn.org/a/f74e414/1/o/bi12_23_Isa_E_21.mp3
January 12-18,Congregation Bible Study,Lesson 51,https://cfp2.jw-cdn.org/a/93b9f9a/1/o/lfb_E_052.mp3
January 12-18,Congregation Bible Study,Lesson 52,https://cfp2.jw-cdn.org/a/ee61fe/1/o/lfb_E_053.mp3
January 19-25,Bible Reading,Isaiah 22,https://cfp2.jw-cdn.org/a/cad88b/1/o/bi12_23_Isa_E_22.mp3
January 19-25,Bible Reading,Isaiah 23,https://cfp2.jw-cdn.org/a/8692cc1/1/o/bi12_23_Isa_E_23.mp3
January 19-25,Congregation Bible Study,Lesson 53,https://cfp2.jw-cdn.org/a/e109b19/1/o/lfb_E_054.mp3
January 26–February 1,Bible Reading,Isaiah 24,https://cfp2.jw-cdn.org/a/9bd174/1/o/bi12_23_Isa_E_24.mp3
January 26–February 1,Bible Reading,Isaiah 25,https://cfp2.jw-cdn.org/a/5c0ff1c/1/o/bi12_23_Isa_E_25.mp3
January 26–February 1,Congregation Bible Study,Lesson 54,https://cfp2.jw-cdn.org/a/a1b212/1/o/lfb_E_055.mp3
February 2-8,Bible Reading,Isaiah 26,https://cfp2.jw-cdn.org/a/e18340/1/o/bi12_23_Isa_E_26.mp3
February 2-8,Bible Reading,Isaiah 27,https://cfp2.jw-cdn.org/a/96003f/1/o/bi12_23_Isa_E_27.mp3
February 2-8,Bible Reading,Isaiah 28,https://cfp2.jw-cdn.org/a/2d1b1fc/1/o/bi12_23_Isa_E_28.mp3
February 2-8,Congregation Bible Study,Lesson 55,https://cfp2.jw-cdn.org/a/8d3330/1/o/lfb_E_056.mp3
February 2-8,Congregation Bible Study,Lesson 56,https://cfp2.jw-cdn.org/a/c786616/1/o/lfb_E_057.mp3
February 9-15,Bible Reading,Isaiah 29,https://cfp2.jw-cdn.org/a/97a32a9/1/o/bi12_23_Isa_E_29.mp3
February 9-15,Bible Reading,Isaiah 30,https://cfp2.jw-cdn.org/a/6c5299/1/o/bi12_23_Isa_E_30.mp3
February 9-15,Bible Reading,Isaiah 31,https://cfp2.jw-cdn.org/a/50df2f3/1/o/bi12_23_Isa_E_31.mp3
February 9-15,Congregation Bible Study,Lesson 57,https://cfp2.jw-cdn.org/a/3695d6/1/o/lfb_E_058.mp3
February 9-15,Congregation Bible Study,Lesson 58,https://cfp2.jw-cdn.org/a/b81606/1/o/lfb_E_059.mp3
February 16-22,Bible Reading,Isaiah 32,https://cfp2.jw-cdn.org/a/3f6cdc/1/o/bi12_23_Isa_E_32.mp3
February 16-22,Bible Reading,Isaiah 33,https://cfp2.jw-cdn.org/a/cbf3b3/1/o/bi12_23_Isa_E_33.mp3
February 16-22,Bible Reading,Isaiah 34,https://cfp2.jw-cdn.org/a/b86778d/1/o/bi12_23_Isa_E_34.mp3
February 16-22,Congregation Bible Study,Lesson 59,https://cfp2.jw-cdn.org/a/77a1f9/1/o/lfb_E_060.mp3
February 16-22,Congregation Bible Study,Lesson 60,https://cfp2.jw-cdn.org/a/368cac/1/o/lfb_E_061.mp3
February 23–March 1,Bible Reading,Isaiah 35,https://cfp2.jw-cdn.org/a/824152/1/o/bi12_23_Isa_E_35.mp3
February 23–March 1,Bible Reading,Isaiah 36,https://cfp2.jw-cdn.org/a/7253b2/1/o/bi12_23_Isa_E_36.mp3
February 23–March 1,Congregation Bible Study,Lesson 61,https://cfp2.jw-cdn.org/a/4978c46/1/o/lfb_E_062.mp3
March 2-8,Bible Reading,Isaiah 37,https://cfp2.jw-cdn.org/a/33a78f/1/o/bi12_23_Isa_E_37.mp3
March 2-8,Bible Reading,Isaiah 38,https://cfp2.jw-cdn.org/a/c549e11/1/o/bi12_23_Isa_E_38.mp3
March 2-8,Bible Reading,Isaiah 39,https://cfp2.jw-cdn.org/a/f0bbfd/1/o/bi12_23_Isa_E_39.mp3
March 2-8,Congregation Bible Study,Lesson 62,https://cfp2.jw-cdn.org/a/7b20745/1/o/lfb_E_063.mp3
March 2-8,Congregation Bible Study,Lesson 63,https://cfp2.jw-cdn.org/a/f9e391c/1/o/lfb_E_064.mp3
March 9-15,Bible Reading,Isaiah 40,https://cfp2.jw-cdn.org/a/748fcb/1/o/bi12_23_Isa_E_40.mp3
March 9-15,Congregation Bible Study,Lesson 64,https://cfp2.jw-cdn.org/a/8e53f1/1/o/lfb_E_065.mp3
March 9-15,Congregation Bible Study,Lesson 65,https://cfp2.jw-cdn.org/a/c9075b/1/o/lfb_E_066.mp3
March 16-22,Bible Reading,Isaiah 41,https://cfp2.jw-cdn.org/a/3d5911/1/o/bi12_23_Isa_E_41.mp3
March 16-22,Bible Reading,Isaiah 42,https://cfp2.jw-cdn.org/a/cdbb53/1/o/bi12_23_Isa_E_42.mp3
March 16-22,Congregation Bible Study,Lesson 66,https://cfp2.jw-cdn.org/a/ae53008/1/o/lfb_E_067.mp3
March 16-22,Congregation Bible Study,Lesson 67,https://cfp2.jw-cdn.org/a/9026e1/1/o/lfb_E_068.mp3
March 23-29,Bible Reading,Isaiah 43,https://cfp2.jw-cdn.org/a/e9eaa68/1/o/bi12_23_Isa_E_43.mp3
March 23-29,Congregation Bible Study,Lesson 68,https://cfp2.jw-cdn.org/a/d67f0c9/1/o/lfb_E_069.mp3
March 23-29,Congregation Bible Study,Lesson 69,https://cfp2.jw-cdn.org/a/51c2a3ae/1/o/lfb_E_070.mp3
March 30–April 5,Bible Reading,Isaiah 44,https://cfp2.jw-cdn.org/a/e76328/1/o/bi12_23_Isa_E_44.mp3
March 30–April 5,Bible Reading,Isaiah 45,https://cfp2.jw-cdn.org/a/eb4b628/1/o/bi12_23_Isa_E_45.mp3
March 30–April 5,Bible Reading,Isaiah 46,https://cfp2.jw-cdn.org/a/9204189/1/o/bi12_23_Isa_E_46.mp3
March 30–April 5,Bible Reading,Isaiah 47,https://cfp2.jw-cdn.org/a/1e95a9/1/o/bi12_23_Isa_E_47.mp3
March 30–April 5,Congregation Bible Study,Lesson 70,https://cfp2.jw-cdn.org/a/fb8ed0/1/o/lfb_E_071.mp3
March 30–April 5,Congregation Bible Study,Lesson 71,https://cfp2.jw-cdn.org/a/2bdb47/1/o/lfb_E_072.mp3
April 6-12,Bible Reading,Isaiah 48,https://cfp2.jw-cdn.org/a/9530d2e/1/o/bi12_23_Isa_E_48.mp3
April 6-12,Congregation Bible Study,Lesson 72,https://cfp2.jw-cdn.org/a/d2afbd/1/o/lfb_E_073.mp3
April 6-12,Congregation Bible Study,Lesson 73,https://cfp2.jw-cdn.org/a/9b89ad/1/o/lfb_E_074.mp3
April 13-19,Bible Reading,Isaiah 49,https://cfp2.jw-cdn.org/a/f82ea1/1/o/bi12_23_Isa_E_49.mp3
April 13-19,Bible Reading,Isaiah 50,https://cfp2.jw-cdn.org/a/ddc299/1/o/bi12_23_Isa_E_50.mp3
April 13-19,Congregation Bible Study,Lesson 74,https://cfp2.jw-cdn.org/a/43820c0/1/o/lfb_E_075.mp3
April 13-19,Congregation Bible Study,Lesson 75,https://cfp2.jw-cdn.org/a/6072394/1/o/lfb_E_076.mp3
April 20-26,Bible Reading,Isaiah 51,https://cfp2.jw-cdn.org/a/98063e4/1/o/bi12_23_Isa_E_51.mp3
April 20-26,Bible Reading,Isaiah 52,https://cfp2.jw-cdn.org/a/1a0c89/1/o/bi12_23_Isa_E_52.mp3
April 20-26,Congregation Bible Study,Lesson 76,https://cfp2.jw-cdn.org/a/c287ad/1/o/lfb_E_077.mp3
April 20-26,Congregation Bible Study,Lesson 77,https://cfp2.jw-cdn.org/a/7122d4/1/o/lfb_E_078.mp3
April 27–May 3,Bible Reading,Isaiah 53,https://cfp2.jw-cdn.org/a/903f76/1/o/bi12_23_Isa_E_53.mp3
April 27–May 3,Bible Reading,Isaiah 54,https://cfp2.jw-cdn.org/a/4936e20/1/o/bi12_23_Isa_E_54.mp3
April 27–May 3,Bible Reading,Isaiah 55,https://cfp2.jw-cdn.org/a/ce2722a/1/o/bi12_23_Isa_E_55.mp3
April 27–May 3,Congregation Bible Study,Lesson 78,https://cfp2.jw-cdn.org/a/e11da0/1/o/lfb_E_079.mp3
April 27–May 3,Congregation Bible Study,Lesson 79,https://cfp2.jw-cdn.org/a/2ef28e/1/o/lfb_E_080.mp3
